,stateid,timeid,dose1,dose2
1652,NL,25.0,0,0
1653,NL,26.0,0,0
1654,NL,27.0,0,0
1655,NL,28.0,0,0
1656,NL,29.0,0,0
1657,NL,30.0,0,0
1658,NL,31.0,0,0
1659,NL,32.0,0,0
1660,NL,33.0,0,0
1661,NL,34.0,0,0
1662,NL,35.0,0,0
1663,NL,36.0,0,0
1664,NL,37.0,0,0
1665,NL,38.0,0,0
1666,NL,39.0,0,0
1667,NL,40.0,0,0
1668,NL,41.0,0,0
1669,NL,42.0,0,0
1670,NL,43.0,0,0
1671,NL,44.0,94,0
1672,NL,45.0,1480,0
1673,NL,46.0,1955,0
1674,NL,47.0,563,0
1675,NL,48.0,4949,0
1676,NL,49.0,10760,3438
1677,NL,50.0,7607,1562
1678,NL,51.0,4492,549
1679,NL,52.0,6971,3567
1680,NL,53.0,7507,5901
1681,NL,54.0,8497,5999
1682,NL,55.0,5098,1487
1683,NL,56.0,15361,3643
1684,NL,57.0,33191,4381
1685,NL,58.0,28707,4520
1686,NL,59.0,22323,5243
1687,NL,60.0,12673,6099
1688,NL,61.0,9820,5388
1689,NL,62.0,13442,78
1690,NL,63.0,15068,75
1691,NL,64.0,19283,119
1692,NL,65.0,50681,299
1693,NL,66.0,61452,700
1694,NL,67.0,61613,1797
1695,NL,68.0,52805,9622
1696,NL,69.0,45765,23291
1697,NL,70.0,42855,25080
1698,NL,71.0,47226,22436
1699,NL,72.0,23702,13892
1700,NL,73.0,13878,7811
1701,NL,74.0,9561,10963
1702,OR,1.0,0,0
1703,OR,2.0,0,0
1704,OR,3.0,0,0
1705,OR,4.0,0,0
1706,OR,5.0,0,0
1707,OR,6.0,0,0
1708,OR,7.0,0,0
1709,OR,8.0,0,0
1710,OR,9.0,0,0
1711,OR,10.0,0,0
1712,OR,11.0,0,0
1713,OR,12.0,0,0
1714,OR,13.0,0,0
1715,OR,14.0,0,0
1716,OR,15.0,0,0
1717,OR,16.0,0,0
1718,OR,17.0,0,0
1719,OR,18.0,0,0
1720,OR,19.0,0,0
1721,OR,20.0,0,0
1722,OR,21.0,0,0
1723,OR,22.0,0,0
1724,OR,23.0,0,0
1725,OR,24.0,0,0
1726,OR,25.0,0,0
1727,OR,26.0,0,0
1728,OR,27.0,0,0
1729,OR,28.0,0,0
1730,OR,29.0,0,0
1731,OR,30.0,0,0
1732,OR,31.0,0,0
1733,OR,32.0,0,0
1734,OR,33.0,0,0
1735,OR,34.0,0,0
1736,OR,35.0,0,0
1737,OR,36.0,0,0
1738,OR,37.0,0,0
1739,OR,38.0,0,0
1740,OR,39.0,0,0
1741,OR,40.0,0,0
1742,OR,41.0,0,0
1743,OR,42.0,0,0
1744,OR,43.0,0,0
1745,OR,44.0,3372,0
1746,OR,45.0,84544,0
1747,OR,46.0,68095,0
1748,OR,47.0,60990,0
1749,OR,48.0,138903,3
1750,OR,49.0,56898,68371
1751,OR,50.0,20890,62073
1752,OR,51.0,132857,31118
1753,OR,52.0,219281,103034
1754,OR,53.0,506252,53411
1755,OR,54.0,425595,25014
1756,OR,55.0,639771,43448
1757,OR,56.0,1191725,86788
1758,OR,57.0,648809,117880
1759,OR,58.0,467680,188243
1760,OR,59.0,202157,138583
1761,OR,60.0,117968,198710
1762,OR,61.0,199368,268154
1763,OR,62.0,401468,35873
1764,OR,63.0,575464,29348
1765,OR,64.0,534231,34159
1766,OR,65.0,562409,124540
1767,OR,66.0,663396,176529
1768,OR,67.0,1474917,214195
1769,OR,68.0,475760,181568
1770,OR,69.0,720612,504716
1771,OR,70.0,458861,352267
